Intensity vs Wavelength, Run #3
Wavelength ( nm )	Intensity ( Volts )
791.58	0.570
795.36	0.580
798.41	0.590
802.27	0.601
806.95	0.612
810.91	0.626
814.91	0.640
818.96	0.655
823.06	0.670
827.20	0.684
829.71	0.698
833.09	0.713
836.50	0.729
839.07	0.743
842.54	0.757
846.92	0.772
850.46	0.788
854.03	0.803
857.64	0.820
863.12	0.837
869.62	0.853
874.32	0.871
879.09	0.890
883.91	0.908
888.80	0.927
891.76	0.946
895.74	0.964
899.76	0.981
901.78	0.997
904.84	1.014
907.92	1.031
912.06	1.047
915.19	1.063
919.41	1.078
923.67	1.093
927.97	1.108
930.14	1.123
932.31	1.136
933.41	1.147
934.50	1.158
935.60	1.167
936.70	1.176
938.91	1.185
938.91	1.192
940.02	1.200
942.25	1.206
945.62	1.213
946.74	1.222
949.01	1.229
951.28	1.237
954.71	1.245
957.02	1.254
959.33	1.263
961.66	1.273
964.00	1.283
966.35	1.292
968.71	1.302
971.09	1.312
972.28	1.320
974.68	1.329
977.09	1.339
978.29	1.349
980.72	1.357
981.94	1.366
983.16	1.373
985.61	1.383
990.55	1.394
994.29	1.406
999.32	1.418
1004.41	1.431
1012.14	1.445
1018.67	1.461
1022.63	1.479
1027.97	1.496
1032.00	1.514
1037.44	1.532
1042.93	1.550
1048.48	1.568
1055.50	1.586
1061.19	1.605
1069.83	1.624
1077.15	1.642
1086.05	1.661
1093.58	1.681
1104.30	1.702
1115.23	1.723
1126.37	1.745
1137.72	1.767
1149.29	1.788
1157.70	1.807
1166.22	1.825
1173.12	1.842
1180.10	1.855
1183.62	1.867
1188.94	1.877
1194.30	1.885
1197.89	1.893
1201.51	1.900
1205.15	1.905
1208.81	1.910
1212.49	1.915
1216.19	1.918
1221.77	1.922
1227.41	1.923
1233.09	1.924
1238.82	1.925
1242.67	1.926
1248.47	1.926
1250.42	1.926
1254.33	1.927
1260.24	1.926
1264.21	1.925
1266.20	1.925
1270.20	1.925
1272.20	1.925
1274.22	1.924
1278.26	1.923
1284.37	1.922
1290.53	1.923
1294.66	1.923
1298.82	1.921
1305.10	1.918
1311.43	1.917
1315.68	1.914
1319.96	1.911
1324.25	1.908
1326.41	1.904
1330.75	1.900
1332.92	1.896
1335.10	1.893
1339.49	1.891
1341.69	1.889
1346.10	1.887
1350.55	1.884
1357.26	1.882
1361.76	1.880
1370.85	1.877
1382.34	1.874
1389.31	1.870
1396.34	1.864
1403.43	1.859
1410.58	1.853
1417.78	1.848
1425.04	1.842
1429.92	1.836
1432.36	1.830
1437.28	1.824
1442.22	1.818
1447.18	1.812
1452.17	1.806
1459.71	1.801
1462.24	1.795
1467.31	1.789
1477.54	1.783
1482.69	1.775
1487.87	1.766
1493.08	1.758
1498.31	1.750
1506.21	1.741
1514.17	1.732
1519.52	1.722
1527.58	1.712
1538.43	1.702
1546.64	1.691
1554.91	1.679
1560.45	1.666
1574.44	1.653
1585.75	1.641
1594.31	1.626
1602.93	1.611
1614.51	1.597
1623.27	1.583
1632.09	1.569
1638.00	1.555
1643.95	1.541
1649.91	1.528
1652.91	1.517
1658.91	1.507
1664.94	1.496
1667.97	1.486
1674.04	1.476
1680.14	1.465
1686.26	1.455
1695.50	1.443
1704.79	1.431
1717.26	1.420
1729.84	1.408
1742.51	1.393
1748.88	1.379
1758.48	1.366
1764.91	1.352
1774.60	1.338
1781.08	1.324
1787.59	1.309
1794.12	1.295
1803.95	1.283
1813.83	1.270
1820.44	1.258
1830.40	1.246
1837.06	1.234
1850.43	1.222
1867.25	1.209
1880.78	1.194
1894.37	1.179
1904.60	1.164
1921.71	1.147
1935.45	1.131
1945.79	1.115
1952.69	1.099
1963.05	1.084
1973.43	1.071
1980.36	1.057
1987.29	1.043
1994.23	1.031
2004.64	1.018
2011.58	1.005
2022.00	0.993
2028.94	0.980
2039.35	0.968
2046.29	0.956
2053.22	0.944
2060.15	0.932
2070.53	0.920
2080.89	0.909
2091.23	0.898
2094.67	0.887
2101.54	0.877
2108.40	0.866
2115.25	0.856
2122.08	0.848
2132.29	0.841
2135.69	0.833
2135.69	0.824
2142.46	0.816
2149.21	0.807
2155.94	0.799
2165.99	0.790
2172.66	0.779
2185.92	0.767
2199.05	0.755
2212.05	0.743
2221.71	0.731
2231.28	0.720
2237.61	0.707
2250.14	0.695
2259.42	0.685
2265.55	0.675
2268.59	0.666
2271.62	0.658
2277.65	0.651
2283.62	0.643
2289.54	0.637
2295.40	0.632
2301.21	0.624
2309.80	0.615
2321.05	0.607
2332.03	0.599
2340.09	0.591
2347.99	0.584
2355.73	0.575
2360.79	0.566
2368.24	0.560
2375.51	0.554
2384.92	0.546
2393.99	0.538
2398.39	0.529
2406.93	0.519
2417.09	0.510
2424.78	0.502
2432.09	0.493
2440.66	0.483
2450.10	0.473
2458.59	0.464
2463.70	0.455
2468.38	0.446
2472.61	0.436
2476.40	0.425
2478.94	0.414
2481.23	0.405
2483.26	0.398
2485.03	0.390
