Intensity vs Wavelength, Run #2
Wavelength ( nm )	Intensity ( Volts )
342.69	-0.038
342.69	-0.037
342.69	-0.035
342.69	-0.034
342.69	-0.033
342.69	-0.032
342.69	-0.032
342.69	-0.032
342.69	-0.032
342.69	-0.031
342.69	-0.031
342.69	-0.030
342.69	-0.029
342.69	-0.029
342.69	-0.028
342.69	-0.029
342.69	-0.031
342.69	-0.031
342.69	-0.031
342.69	-0.030
342.69	-0.030
342.69	-0.031
342.80	-0.032
342.80	-0.032
342.80	-0.030
342.80	-0.029
342.80	-0.029
342.80	-0.030
342.80	-0.029
342.80	-0.029
342.80	-0.029
343.04	-0.029
343.04	-0.028
343.16	-0.029
343.28	-0.029
343.40	-0.029
343.63	-0.029
343.87	-0.029
344.34	-0.028
344.81	-0.027
345.16	-0.026
345.63	-0.025
346.33	-0.024
347.26	-0.024
348.30	-0.023
349.57	-0.023
351.28	-0.021
353.32	-0.020
355.67	-0.020
358.09	-0.021
359.94	-0.022
361.99	-0.023
364.00	-0.022
365.57	-0.021
366.61	-0.022
366.92	-0.022
367.02	-0.023
367.12	-0.023
367.12	-0.022
367.12	-0.020
367.12	-0.021
367.23	-0.021
367.33	-0.021
367.43	-0.022
367.53	-0.022
367.64	-0.022
367.84	-0.021
368.05	-0.020
368.35	-0.020
368.76	-0.019
369.27	-0.017
369.87	-0.016
370.58	-0.014
371.47	-0.012
372.46	-0.012
373.74	-0.012
375.39	-0.012
377.39	-0.011
380.00	-0.011
383.62	-0.010
385.90	-0.009
388.47	-0.010
390.40	-0.011
392.36	-0.010
393.65	-0.009
394.92	-0.009
395.71	-0.009
396.33	-0.009
396.72	-0.010
396.95	-0.009
397.10	-0.008
397.33	-0.009
397.56	-0.008
397.79	-0.007
398.10	-0.007
398.40	-0.005
398.78	-0.004
399.16	-0.004
399.68	-0.002
400.28	-0.001
400.88	-0.002
401.47	-0.002
402.05	-0.002
402.78	-0.002
403.36	-0.002
403.94	-0.002
404.51	-0.002
405.08	-4.578E-4
405.50	0.001
405.93	0.002
406.42	0.003
406.98	0.003
407.40	0.002
407.95	0.001
408.51	7.630E-4
409.13	-1.526E-4
409.74	-4.578E-4
410.15	3.433E-4
410.63	0.002
410.97	0.004
411.51	0.006
412.05	0.008
412.59	0.009
412.99	0.011
413.46	0.012
414.00	0.012
414.47	0.011
414.87	0.010
415.33	0.008
415.80	0.008
416.39	0.008
416.86	0.007
417.45	0.006
417.98	0.006
418.58	0.007
419.17	0.008
419.70	0.010
420.16	0.010
420.63	0.010
421.16	0.011
421.55	0.011
421.95	0.010
422.35	0.010
422.81	0.011
423.28	0.011
423.75	0.012
424.28	0.014
424.75	0.014
425.29	0.015
425.89	0.017
426.37	0.018
426.98	0.017
427.52	0.016
428.13	0.016
428.68	0.014
429.30	0.013
429.86	0.013
430.48	0.013
431.04	0.012
431.67	0.012
432.24	0.013
432.88	0.012
433.60	0.013
434.32	0.014
435.05	0.016
435.79	0.016
436.75	0.016
437.50	0.017
438.26	0.018
439.02	0.019
439.80	0.020
440.58	0.021
441.21	0.021
441.92	0.021
442.56	0.021
443.13	0.021
443.87	0.021
444.44	0.022
445.11	0.023
445.87	0.023
446.63	0.023
447.32	0.023
447.92	0.023
448.54	0.023
449.24	0.024
449.96	0.024
450.68	0.024
451.50	0.025
452.33	0.025
453.07	0.026
453.83	0.028
454.69	0.029
455.36	0.029
456.14	0.030
456.83	0.031
457.53	0.031
458.13	0.031
458.64	0.031
459.15	0.031
459.67	0.032
460.18	0.032
460.70	0.032
461.23	0.030
461.97	0.029
462.62	0.030
463.26	0.031
463.81	0.031
464.36	0.030
464.80	0.029
465.35	0.030
465.80	0.030
466.48	0.031
467.16	0.032
467.97	0.032
468.67	0.034
469.25	0.035
470.08	0.037
470.92	0.037
471.76	0.037
472.25	0.037
472.99	0.036
473.74	0.036
474.49	0.037
475.12	0.036
475.88	0.036
476.79	0.037
477.57	0.039
478.22	0.040
479.15	0.041
480.09	0.042
481.18	0.042
482.14	0.043
482.83	0.044
483.96	0.044
485.24	0.043
486.24	0.043
487.26	0.043
488.45	0.042
489.64	0.040
491.01	0.041
492.08	0.042
493.48	0.042
494.75	0.043
496.35	0.042
497.66	0.042
499.14	0.043
500.82	0.045
502.53	0.045
504.44	0.044
506.03	0.043
508.01	0.043
509.65	0.044
511.33	0.047
513.02	0.049
514.56	0.049
516.11	0.049
517.68	0.050
519.08	0.051
520.69	0.052
522.33	0.052
523.99	0.051
525.89	0.050
527.82	0.049
529.78	0.049
531.54	0.049
533.33	0.050
535.15	0.051
537.00	0.050
538.86	0.050
540.76	0.050
542.68	0.052
544.64	0.053
546.61	0.054
548.62	0.056
550.66	0.057
552.99	0.058
555.35	0.060
558.02	0.061
561.30	0.062
564.64	0.063
567.77	0.065
570.68	0.067
573.63	0.069
576.34	0.072
579.09	0.075
581.58	0.077
584.42	0.079
586.99	0.082
589.59	0.084
592.24	0.085
594.93	0.087
597.65	0.090
600.77	0.092
603.58	0.094
606.44	0.096
609.71	0.099
613.04	0.102
616.42	0.105
619.87	0.109
622.59	0.112
625.35	0.115
628.15	0.119
630.57	0.124
633.03	0.127
635.52	0.128
638.03	0.130
640.58	0.132
642.72	0.135
645.32	0.139
648.40	0.142
651.97	0.143
655.14	0.147
658.82	0.152
663.50	0.157
668.28	0.163
672.66	0.167
676.63	0.171
680.15	0.177
683.73	0.184
687.36	0.190
691.04	0.196
694.78	0.202
698.02	0.207
701.31	0.213
704.64	0.220
708.02	0.227
711.43	0.234
715.47	0.240
718.99	0.246
722.55	0.253
727.36	0.262
731.65	0.270
736.63	0.278
740.42	0.286
745.55	0.295
750.11	0.305
754.75	0.316
760.14	0.327
765.63	0.337
771.21	0.348
776.18	0.359
781.96	0.372
787.85	0.387
794.60	0.402
803.04	0.418
812.50	0.437
822.23	0.458
832.24	0.482
840.80	0.506
849.57	0.529
857.64	0.553
865.89	0.578
874.32	0.604
881.98	0.629
888.80	0.653
895.74	0.675
901.78	0.698
906.89	0.721
911.02	0.742
915.19	0.760
918.35	0.778
922.60	0.795
925.81	0.812
927.97	0.828
931.22	0.842
934.50	0.855
936.70	0.868
938.91	0.879
942.25	0.891
944.49	0.902
949.01	0.913
952.42	0.925
958.17	0.937
964.00	0.950
969.90	0.964
975.88	0.980
979.50	0.996
984.38	1.012
990.55	1.027
994.29	1.042
998.06	1.057
1003.13	1.072
1008.26	1.088
1012.14	1.102
1016.05	1.116
1019.99	1.130
1023.96	1.144
1027.97	1.159
1032.00	1.173
1034.71	1.186
1038.81	1.198
1042.93	1.210
1047.09	1.223
1051.28	1.235
1055.50	1.246
1061.19	1.257
1068.38	1.269
1074.21	1.281
1080.10	1.293
1087.55	1.307
1096.63	1.321
1104.30	1.334
1113.66	1.347
1121.57	1.361
1131.21	1.376
1142.65	1.391
1152.64	1.406
1161.09	1.420
1171.39	1.434
1183.62	1.448
1194.30	1.461
1203.33	1.473
1212.49	1.483
1223.65	1.490
1234.99	1.496
1246.53	1.502
1256.30	1.507
1266.20	1.512
1276.24	1.515
1284.37	1.517
1294.66	1.518
1303.00	1.518
1311.43	1.517
1317.82	1.515
1326.41	1.513
1335.10	1.510
1341.69	1.506
1348.32	1.502
1357.26	1.499
1366.29	1.497
1375.43	1.494
1384.66	1.491
1396.34	1.486
1408.19	1.480
1417.78	1.475
1427.48	1.471
1437.28	1.465
1447.18	1.458
1454.68	1.450
1459.71	1.443
1467.31	1.435
1474.97	1.429
1480.11	1.422
1487.87	1.413
1493.08	1.405
1500.94	1.397
1511.51	1.389
1522.20	1.380
1532.99	1.370
1546.64	1.358
1560.45	1.345
1574.44	1.331
1591.45	1.317
1605.81	1.301
1623.27	1.284
1638.00	1.267
1652.91	1.249
1671.00	1.231
1695.50	1.212
1717.26	1.192
1733.00	1.172
1745.69	1.152
1761.69	1.132
1771.36	1.113
1781.08	1.094
1790.85	1.077
1797.39	1.061
1807.24	1.048
1813.83	1.036
1827.08	1.024
1833.73	1.014
1840.40	1.005
1847.08	0.995
1853.79	0.985
1860.51	0.976
1863.88	0.967
1867.25	0.958
1877.39	0.950
1884.17	0.942
1890.97	0.933
1897.78	0.926
1908.02	0.919
1921.71	0.910
1932.01	0.900
1949.23	0.891
1959.59	0.879
1973.43	0.866
1987.29	0.854
2004.64	0.841
2022.00	0.827
2035.88	0.812
2049.76	0.797
2067.07	0.781
2080.89	0.767
2091.23	0.752
2101.54	0.736
2115.25	0.720
2132.29	0.704
2149.21	0.690
2165.99	0.676
2179.31	0.660
2199.05	0.644
2221.71	0.627
2243.90	0.611
2262.49	0.594
2283.62	0.577
2304.09	0.559
2323.82	0.542
2340.09	0.527
2355.73	0.512
2370.68	0.497
2387.22	0.484
2396.20	0.472
2406.93	0.460
2415.10	0.448
