Intensity vs Wavelength, Run #1
Wavelength ( nm )	Intensity ( Volts )
342.69	-0.036
342.69	-0.035
342.80	-0.034
342.92	-0.033
342.92	-0.033
342.92	-0.031
342.92	-0.030
342.92	-0.030
342.92	-0.029
342.92	-0.027
343.04	-0.025
343.16	-0.025
343.28	-0.026
343.40	-0.027
343.63	-0.028
343.98	-0.028
344.34	-0.029
344.81	-0.031
345.39	-0.032
346.10	-0.032
346.91	-0.031
348.07	-0.031
349.22	-0.030
350.71	-0.029
352.19	-0.030
353.99	-0.031
356.00	-0.030
358.20	-0.030
360.27	-0.030
362.52	-0.031
364.74	-0.032
366.81	-0.034
367.64	-0.033
368.96	-0.031
369.57	-0.030
370.17	-0.030
370.68	-0.029
371.08	-0.029
371.57	-0.029
372.07	-0.027
372.66	-0.026
373.54	-0.027
374.71	-0.028
376.25	-0.029
378.14	-0.029
380.92	-0.029
384.86	-0.029
386.94	-0.029
389.98	-0.029
392.44	-0.029
395.00	-0.027
397.33	-0.027
399.23	-0.027
401.17	-0.027
402.85	-0.026
404.29	-0.027
405.50	-0.027
406.49	-0.028
407.47	-0.028
408.30	-0.027
409.13	-0.026
409.81	-0.026
410.63	-0.026
411.38	-0.025
412.19	-0.024
412.99	-0.024
414.00	-0.024
415.07	-0.024
416.26	-0.024
417.45	-0.023
418.71	-0.024
420.03	-0.025
421.42	-0.024
422.88	-0.024
424.21	-0.024
425.62	-0.024
427.11	-0.025
428.61	-0.027
430.06	-0.025
431.39	-0.024
432.74	-0.024
433.82	-0.023
434.98	-0.023
435.93	-0.023
436.90	-0.021
437.65	-0.019
438.56	-0.019
439.41	-0.020
440.34	-0.020
441.29	-0.021
442.40	-0.022
443.54	-0.022
444.86	-0.023
446.20	-0.025
447.75	-0.025
449.51	-0.024
451.41	-0.025
453.36	-0.025
455.46	-0.026
457.63	-0.026
459.67	-0.026
461.76	-0.025
463.70	-0.026
465.58	-0.027
467.51	-0.025
469.13	-0.024
470.92	-0.022
472.50	-0.021
473.86	-0.020
475.25	-0.019
476.79	-0.017
478.36	-0.016
479.96	-0.016
481.73	-0.016
483.25	-0.017
484.81	-0.016
486.39	-0.016
488.00	-0.016
490.09	-0.016
492.24	-0.016
494.27	-0.017
496.35	-0.017
498.81	-0.017
501.33	-0.018
503.91	-0.018
506.57	-0.018
509.29	-0.018
512.08	-0.017
514.75	-0.016
517.48	-0.016
519.88	-0.015
522.33	-0.013
524.83	-0.012
527.17	-0.011
529.56	-0.010
531.77	-0.009
534.01	-0.008
536.30	-0.007
538.63	-0.007
541.00	-0.005
543.66	-0.005
546.37	-0.005
548.37	-0.004
550.66	-0.002
553.25	-0.001
555.88	1.907E-4
558.29	0.001
561.02	9.156E-4
564.08	0.002
567.20	0.004
570.09	0.005
573.33	0.004
576.64	0.005
580.96	0.007
585.06	0.009
588.94	0.011
593.24	0.013
598.00	0.015
603.23	0.017
607.89	0.022
612.30	0.026
617.57	0.028
622.98	0.029
627.74	0.032
633.44	0.036
638.45	0.040
644.02	0.044
648.84	0.048
653.77	0.051
658.35	0.055
663.97	0.060
668.76	0.065
674.64	0.069
680.15	0.073
686.32	0.078
691.57	0.083
696.40	0.088
701.86	0.093
708.58	0.098
714.89	0.104
720.17	0.111
724.94	0.119
730.42	0.125
735.37	0.132
740.42	0.140
746.20	0.148
751.43	0.156
758.11	0.165
763.56	0.174
770.51	0.183
777.62	0.192
784.89	0.202
790.83	0.212
796.88	0.223
802.27	0.234
808.53	0.245
814.91	0.257
823.06	0.270
830.55	0.284
838.21	0.299
846.92	0.316
857.64	0.333
867.75	0.352
878.13	0.372
888.80	0.393
898.75	0.414
906.89	0.435
915.19	0.456
922.60	0.476
931.22	0.498
940.02	0.519
946.74	0.540
954.71	0.559
962.83	0.577
968.71	0.598
973.48	0.618
979.50	0.637
985.61	0.655
990.55	0.671
994.29	0.687
998.06	0.705
1004.41	0.722
1010.84	0.736
1018.67	0.752
1026.63	0.769
1034.71	0.785
1044.31	0.803
1054.09	0.823
1065.49	0.842
1077.15	0.861
1090.56	0.883
1101.22	0.904
1116.81	0.924
1129.59	0.945
1145.97	0.965
1159.39	0.985
1174.86	1.006
1190.72	1.025
1205.15	1.040
1218.04	1.055
1233.09	1.071
1246.53	1.084
1260.24	1.094
1274.22	1.103
1288.47	1.110
1303.00	1.115
1317.82	1.121
1330.75	1.125
1346.10	1.126
1361.76	1.128
1377.72	1.129
1391.65	1.128
1405.81	1.125
1422.62	1.123
1442.22	1.119
1459.71	1.115
1474.97	1.109
1487.87	1.103
1506.21	1.095
1524.89	1.087
1541.16	1.079
1557.68	1.067
1580.08	1.055
1608.71	1.041
1635.04	1.024
1658.91	1.006
1683.20	0.987
1714.13	0.966
1748.88	0.944
1781.08	0.923
1807.24	0.901
1830.40	0.878
1857.15	0.857
1880.78	0.836
1901.19	0.815
1921.71	0.795
1942.34	0.777
1969.97	0.757
1990.76	0.738
2011.58	0.720
2032.41	0.701
2053.22	0.684
2067.07	0.668
2084.34	0.652
2101.54	0.637
2118.67	0.623
2135.69	0.609
2149.21	0.594
2162.65	0.578
2182.62	0.563
2202.32	0.549
2224.91	0.534
2247.02	0.518
2274.64	0.501
2301.21	0.486
2323.82	0.470
2345.38	0.455
2365.78	0.440
2389.50	0.425
2404.83	0.411
2417.09	0.397
2432.09	0.383
2447.06	0.371
2458.59	0.360
2464.91	0.350
2471.60	0.339
2477.27	0.329
2483.26	0.319
