Intensity vs Wavelength, Run #4
Wavelength ( nm )	Intensity ( Volts )
342.80	-0.004
342.92	-0.002
343.04	-9.156E-4
343.16	4.578E-4
343.28	0.002
343.51	0.003
343.75	0.004
343.87	0.004
344.10	0.004
344.22	0.004
344.57	0.003
344.93	0.002
345.39	0.001
345.98	0.001
346.68	0.002
347.26	0.002
347.95	0.001
348.88	6.104E-4
349.80	0.001
350.48	0.003
351.51	0.004
352.42	0.004
353.21	0.004
353.99	0.004
355.11	0.006
356.22	0.008
357.33	0.007
358.09	0.006
359.08	0.005
360.05	0.004
361.02	0.004
361.77	0.004
362.52	0.004
363.16	0.004
363.90	0.005
364.53	0.005
365.05	0.004
365.68	0.004
366.09	0.004
366.09	0.003
366.09	0.002
366.19	0.002
366.19	0.001
366.19	0.001
366.30	0.002
366.30	0.001
366.30	5.722E-4
366.40	4.196E-4
366.50	0.001
366.71	0.003
366.92	0.003
367.12	0.003
367.43	0.003
367.74	0.003
368.05	0.004
368.35	0.004
368.66	0.002
368.96	-0.001
369.47	-0.003
370.17	-0.004
370.88	-0.005
371.67	-0.006
372.66	-0.007
374.03	-0.008
375.87	-0.007
377.86	-0.006
380.64	-0.007
383.89	-0.008
385.12	-0.010
387.54	-0.010
389.48	-0.010
391.14	-0.010
392.69	-0.011
394.05	-0.012
395.16	-0.012
396.02	-0.012
396.72	-0.011
397.41	-0.011
398.02	-0.011
398.55	-0.011
399.08	-0.011
399.61	-0.012
400.21	-0.012
400.80	-0.013
401.47	-0.013
402.13	-0.014
402.85	-0.014
403.50	-0.013
404.08	-0.013
404.65	-0.013
405.36	-0.013
406.07	-0.014
406.84	-0.014
407.47	-0.014
408.02	-0.015
408.65	-0.015
409.26	-0.016
409.74	-0.016
410.09	-0.014
410.43	-0.013
410.77	-0.015
411.17	-0.016
411.58	-0.017
412.19	-0.017
412.86	-0.016
413.66	-0.015
414.27	-0.014
415.00	-0.012
415.60	-0.010
416.13	-0.009
416.53	-0.009
416.86	-0.009
417.25	-0.009
417.65	-0.010
418.05	-0.012
418.58	-0.014
419.17	-0.014
419.77	-0.014
420.36	-0.014
420.96	-0.015
421.49	-0.015
421.95	-0.015
422.28	-0.016
422.62	-0.016
422.88	-0.016
423.21	-0.015
423.55	-0.015
423.88	-0.014
424.35	-0.014
424.88	-0.014
425.42	-0.014
426.03	-0.013
