Intensity vs Wavelength, Run #4
Wavelength ( nm )	Intensity ( Volts )
426.57	-0.013
427.11	-0.014
427.59	-0.014
428.00	-0.013
428.48	-0.011
428.89	-0.012
429.37	-0.011
429.93	-0.012
430.48	-0.013
431.04	-0.013
431.67	-0.012
432.38	-0.012
433.02	-0.013
433.60	-0.012
434.03	-0.011
434.47	-0.009
434.98	-0.008
435.49	-0.007
436.01	-0.007
436.53	-0.007
437.12	-0.005
437.58	-0.005
438.03	-0.005
438.41	-0.005
438.79	-0.005
439.25	-0.005
439.72	-0.005
440.03	-0.005
440.42	-0.008
440.73	-0.009
441.21	-0.010
441.60	-0.012
442.00	-0.013
442.48	-0.014
443.05	-0.014
443.54	-0.014
444.20	-0.014
444.86	-0.014
445.53	-0.012
446.12	-0.012
446.80	-0.011
447.40	-0.011
448.01	-0.011
448.80	-0.010
449.60	-0.009
450.41	-0.009
451.31	-0.010
452.14	-0.010
452.89	-0.010
453.64	-0.010
454.50	-0.009
455.27	-0.010
455.75	-0.010
456.24	-0.010
456.74	-0.010
457.03	-0.009
457.33	-0.008
457.63	-0.010
458.03	-0.010
458.64	-0.009
459.15	-0.008
459.56	-0.007
460.18	-0.009
460.81	-0.009
461.55	-0.008
462.19	-0.007
463.05	-0.007
463.92	-0.007
465.02	-0.006
466.25	-0.006
467.51	-0.004
468.67	-0.004
469.96	-0.005
471.04	-0.005
472.01	-0.005
473.24	-0.005
474.11	-0.005
475.25	-0.005
476.01	-0.005
476.79	-0.005
477.70	-0.006
478.62	-0.006
479.82	-0.005
480.63	-0.004
481.59	-0.004
482.42	-0.004
483.11	-0.004
483.81	-0.003
484.24	-0.002
484.95	-0.003
485.52	-0.004
486.24	-0.004
486.68	-0.004
487.26	-0.004
487.71	-0.004
488.30	-0.002
488.89	-0.001
489.34	-3.433E-4
489.94	1.144E-4
490.55	6.104E-4
491.47	0.001
492.55	0.002
493.48	0.002
494.75	0.002
495.87	0.002
496.84	0.003
497.82	0.002
498.98	0.002
500.15	0.003
501.33	0.003
502.53	0.003
503.74	0.004
504.79	0.004
506.03	0.005
507.10	0.007
508.55	0.008
510.02	0.008
511.51	0.009
512.83	0.010
514.36	0.011
515.72	0.013
516.89	0.014
517.88	0.014
518.88	0.015
519.88	0.015
520.49	0.015
521.31	0.016
522.13	0.016
523.16	0.016
523.99	0.017
524.83	0.019
526.10	0.022
527.39	0.024
528.47	0.026
529.78	0.026
530.88	0.028
532.21	0.030
533.56	0.031
534.92	0.031
536.53	0.032
537.69	0.032
538.63	0.034
539.81	0.036
541.72	0.037
542.93	0.038
544.14	0.040
545.37	0.042
547.11	0.043
548.88	0.044
551.17	0.045
552.73	0.047
555.09	0.049
557.22	0.051
559.65	0.053
561.57	0.055
562.96	0.058
564.64	0.060
566.34	0.063
568.35	0.066
570.38	0.068
572.15	0.070
573.63	0.073
575.13	0.077
577.25	0.081
579.40	0.085
581.89	0.089
583.79	0.093
585.38	0.097
587.31	0.100
589.59	0.104
591.91	0.107
593.91	0.110
595.60	0.113
597.31	0.116
598.68	0.119
600.07	0.124
601.82	0.128
603.23	0.133
604.65	0.137
606.80	0.140
608.62	0.144
611.18	0.147
613.79	0.152
617.19	0.157
620.64	0.160
623.77	0.164
626.54	0.169
629.76	0.175
633.03	0.182
635.52	0.188
637.61	0.194
639.73	0.200
641.86	0.206
644.02	0.213
645.32	0.220
646.64	0.226
647.96	0.231
650.18	0.236
651.97	0.241
653.32	0.246
655.14	0.251
656.97	0.256
659.28	0.261
661.14	0.266
663.50	0.272
665.40	0.279
667.31	0.286
669.73	0.293
671.68	0.299
673.65	0.306
674.64	0.313
676.13	0.319
677.63	0.324
679.65	0.327
681.17	0.331
682.70	0.337
685.28	0.343
687.88	0.349
689.46	0.355
691.57	0.361
693.70	0.368
696.40	0.376
697.48	0.384
699.12	0.392
701.86	0.400
704.08	0.406
706.32	0.414
707.45	0.422
709.15	0.430
711.43	0.437
714.31	0.445
716.64	0.453
719.58	0.461
722.55	0.471
726.15	0.481
727.97	0.492
730.42	0.503
732.27	0.513
735.37	0.522
736.63	0.531
737.88	0.540
739.15	0.550
741.69	0.560
744.26	0.568
746.85	0.577
748.80	0.585
750.77	0.594
753.42	0.604
756.09	0.614
758.11	0.623
760.82	0.634
763.56	0.645
767.01	0.655
768.41	0.667
770.51	0.679
771.92	0.691
774.04	0.703
775.47	0.714
776.90	0.723
779.06	0.734
781.24	0.745
783.42	0.756
786.37	0.767
789.34	0.777
792.33	0.789
796.12	0.802
799.18	0.816
802.27	0.830
806.17	0.844
810.11	0.861
814.11	0.878
818.15	0.896
822.23	0.915
825.54	0.933
830.55	0.952
834.79	0.972
838.21	0.992
840.80	1.010
843.41	1.028
846.04	1.044
847.80	1.059
849.57	1.074
850.46	1.087
851.35	1.099
853.13	1.112
854.93	1.122
856.73	1.132
857.64	1.141
858.55	1.150
860.37	1.158
862.20	1.166
863.12	1.174
864.04	1.181
864.97	1.189
867.75	1.199
868.68	1.208
869.62	1.215
870.55	1.224
871.49	1.232
873.38	1.241
875.27	1.250
877.18	1.258
879.09	1.266
881.98	1.277
884.89	1.290
889.78	1.304
892.75	1.318
895.74	1.334
899.76	1.350
903.82	1.367
906.89	1.384
908.95	1.400
912.06	1.415
914.15	1.429
916.24	1.443
917.30	1.456
918.35	1.468
920.47	1.479
922.60	1.491
923.67	1.501
924.74	1.510
925.81	1.519
925.81	1.526
926.89	1.534
926.89	1.541
927.97	1.547
929.05	1.553
930.14	1.559
932.31	1.566
933.41	1.571
934.50	1.576
935.60	1.583
936.70	1.590
938.91	1.600
942.25	1.610
945.62	1.622
949.01	1.634
953.57	1.647
955.86	1.661
958.17	1.674
960.49	1.687
961.66	1.699
964.00	1.711
967.53	1.723
969.90	1.736
972.28	1.748
975.88	1.761
978.29	1.773
980.72	1.785
983.16	1.798
984.38	1.810
988.07	1.821
991.79	1.834
995.54	1.847
998.06	1.859
1000.59	1.871
1003.13	1.883
1004.41	1.895
1006.97	1.907
1008.26	1.919
1012.14	1.930
1017.36	1.943
1021.31	1.957
1025.29	1.971
1029.31	1.987
1036.07	2.003
1042.93	2.021
1048.48	2.040
1054.09	2.060
1062.62	2.079
1069.83	2.099
1078.62	2.120
1087.55	2.142
1098.15	2.164
1107.40	2.186
1118.39	2.206
1127.98	2.227
1141.00	2.247
1150.97	2.267
1161.09	2.285
1169.66	2.301
1178.35	2.316
1185.39	2.329
1192.51	2.339
1199.70	2.348
1206.98	2.356
1212.49	2.360
1219.91	2.363
1225.53	2.365
1231.19	2.366
1234.99	2.366
1238.82	2.367
1242.67	2.367
1246.53	2.366
1250.42	2.365
1254.33	2.365
1256.30	2.364
1258.27	2.362
1260.24	2.360
1262.22	2.359
1268.19	2.357
1272.20	2.354
1278.26	2.352
1284.37	2.349
1292.59	2.345
1298.82	2.341
1303.00	2.336
1307.20	2.331
1313.55	2.328
1319.96	2.324
1322.10	2.319
1326.41	2.313
1330.75	2.309
1337.29	2.305
1341.69	2.301
1348.32	2.296
1355.02	2.289
1361.76	2.282
1370.85	2.273
1380.03	2.264
1386.98	2.257
1396.34	2.248
1403.43	2.239
1408.19	2.229
1415.37	2.219
1420.19	2.210
1425.04	2.202
1432.36	2.194
1439.74	2.183
1447.18	2.172
1452.17	2.162
1459.71	2.151
1472.41	2.138
1482.69	2.124
1490.47	2.108
1500.94	2.092
1514.17	2.075
1527.58	2.058
1538.43	2.038
1546.64	2.018
1554.91	1.997
1568.83	1.976
1582.92	1.955
1594.31	1.932
1605.81	1.908
1620.35	1.883
1635.04	1.859
1646.93	1.834
1655.90	1.810
1667.97	1.786
1680.14	1.763
1689.33	1.739
1701.68	1.717
1714.13	1.695
1720.40	1.674
1726.68	1.655
1729.84	1.638
1733.00	1.620
1739.33	1.603
1742.51	1.589
1745.69	1.577
1752.07	1.565
1758.48	1.554
1761.69	1.544
1764.91	1.533
1771.36	1.523
1777.84	1.514
1784.33	1.503
1787.59	1.493
1794.12	1.484
1800.67	1.472
1807.24	1.461
1813.83	1.450
1817.14	1.440
1823.76	1.430
1830.40	1.419
1840.40	1.407
1847.08	1.395
1857.15	1.383
1870.63	1.370
1880.78	1.355
1887.57	1.340
1897.78	1.325
1914.86	1.309
1928.58	1.291
1942.34	1.273
1963.05	1.253
1983.82	1.231
2004.64	1.209
2018.52	1.184
2032.41	1.158
2049.76	1.133
2067.07	1.107
2080.89	1.081
2094.67	1.055
2111.83	1.030
2128.89	1.005
2145.84	0.981
2155.94	0.958
2169.33	0.935
2182.62	0.913
2199.05	0.891
2215.28	0.869
2228.10	0.847
2247.02	0.825
2265.55	0.804
2283.62	0.781
2298.31	0.760
2312.64	0.740
2332.03	0.720
2345.38	0.701
2358.27	0.682
2370.68	0.663
2384.92	0.645
2398.39	0.627
2411.06	0.608
2420.98	0.589
2433.86	0.571
2445.50	0.553
2455.86	0.535
2464.91	0.519
2470.55	0.503
2475.49	0.487
2478.94	0.473
2481.23	0.459
2483.26	0.445
2485.03	0.431
