Freq.	V(n001)
5.41963457010601e+01	(-5.04531781267370e+01dB,1.79999680157444e+02°)
5.43212811808532e+01	(-5.04531781267376e+01dB,1.79999679420131e+02°)
5.44465046666716e+01	(-5.04531781267382e+01dB,1.79999678681118e+02°)
5.45720168224377e+01	(-5.04531781267388e+01dB,1.79999677940401e+02°)
5.46978183136046e+01	(-5.04531781267395e+01dB,1.79999677197977e+02°)
5.48239098071591e+01	(-5.04531781267401e+01dB,1.79999676453842e+02°)
5.49502919716259e+01	(-5.04531781267407e+01dB,1.79999675707991e+02°)
5.50769654770706e+01	(-5.04531781267414e+01dB,1.79999674960420e+02°)
5.52039309951035e+01	(-5.04531781267420e+01dB,1.79999674211127e+02°)
5.53311891988832e+01	(-5.04531781267427e+01dB,1.79999673460106e+02°)
5.54587407631199e+01	(-5.04531781267433e+01dB,1.79999672707354e+02°)
5.55865863640794e+01	(-5.04531781267440e+01dB,1.79999671952866e+02°)
5.57147266795863e+01	(-5.04531781267446e+01dB,1.79999671196640e+02°)
5.58431623890279e+01	(-5.04531781267453e+01dB,1.79999670438670e+02°)
5.59718941733574e+01	(-5.04531781267460e+01dB,1.79999669678952e+02°)
5.61009227150980e+01	(-5.04531781267466e+01dB,1.79999668917483e+02°)
5.62302486983462e+01	(-5.04531781267473e+01dB,1.79999668154259e+02°)
5.63598728087753e+01	(-5.04531781267480e+01dB,1.79999667389276e+02°)
5.64897957336397e+01	(-5.04531781267487e+01dB,1.79999666622529e+02°)
5.66200181617777e+01	(-5.04531781267493e+01dB,1.79999665854015e+02°)
5.67505407836156e+01	(-5.04531781267500e+01dB,1.79999665083729e+02°)
5.68813642911714e+01	(-5.04531781267507e+01dB,1.79999664311667e+02°)
5.70124893780582e+01	(-5.04531781267514e+01dB,1.79999663537825e+02°)
5.71439167394884e+01	(-5.04531781267521e+01dB,1.79999662762200e+02°)
5.72756470722766e+01	(-5.04531781267528e+01dB,1.79999661984787e+02°)
5.74076810748439e+01	(-5.04531781267535e+01dB,1.79999661205581e+02°)
5.75400194472216e+01	(-5.04531781267542e+01dB,1.79999660424579e+02°)
5.76726628910544e+01	(-5.04531781267549e+01dB,1.79999659641777e+02°)
5.78056121096047e+01	(-5.04531781267556e+01dB,1.79999658857170e+02°)
5.79388678077561e+01	(-5.04531781267563e+01dB,1.79999658070755e+02°)
5.80724306920169e+01	(-5.04531781267570e+01dB,1.79999657282527e+02°)
5.82063014705244e+01	(-5.04531781267577e+01dB,1.79999656492481e+02°)
5.83404808530479e+01	(-5.04531781267584e+01dB,1.79999655700615e+02°)
5.84749695509933e+01	(-5.04531781267592e+01dB,1.79999654906922e+02°)
5.86097682774063e+01	(-5.04531781267599e+01dB,1.79999654111401e+02°)
5.87448777469762e+01	(-5.04531781267606e+01dB,1.79999653314045e+02°)
5.88802986760401e+01	(-5.04531781267614e+01dB,1.79999652514852e+02°)
5.90160317825862e+01	(-5.04531781267621e+01dB,1.79999651713816e+02°)
5.91520777862580e+01	(-5.04531781267628e+01dB,1.79999650910933e+02°)
5.92884374083578e+01	(-5.04531781267636e+01dB,1.79999650106200e+02°)
5.94251113718507e+01	(-5.04531781267643e+01dB,1.79999649299611e+02°)
5.95621004013685e+01	(-5.04531781267651e+01dB,1.79999648491163e+02°)
5.96994052232134e+01	(-5.04531781267658e+01dB,1.79999647680852e+02°)
5.98370265653619e+01	(-5.04531781267666e+01dB,1.79999646868672e+02°)
5.99749651574687e+01	(-5.04531781267674e+01dB,1.79999646054620e+02°)
6.01132217308704e+01	(-5.04531781267681e+01dB,1.79999645238692e+02°)
6.02517970185896e+01	(-5.04531781267689e+01dB,1.79999644420883e+02°)
6.03906917553387e+01	(-5.04531781267697e+01dB,1.79999643601188e+02°)
6.05299066775238e+01	(-5.04531781267704e+01dB,1.79999642779604e+02°)
6.06694425232486e+01	(-5.04531781267712e+01dB,1.79999641956126e+02°)
6.08093000323181e+01	(-5.04531781267720e+01dB,1.79999641130750e+02°)
6.09494799462430e+01	(-5.04531781267728e+01dB,1.79999640303471e+02°)
6.10899830082433e+01	(-5.04531781267736e+01dB,1.79999639474284e+02°)
6.12308099632521e+01	(-5.04531781267744e+01dB,1.79999638643187e+02°)
6.13719615579201e+01	(-5.04531781267752e+01dB,1.79999637810173e+02°)
6.15134385406188e+01	(-5.04531781267760e+01dB,1.79999636975240e+02°)
6.16552416614451e+01	(-5.04531781267768e+01dB,1.79999636138381e+02°)
6.17973716722252e+01	(-5.04531781267776e+01dB,1.79999635299593e+02°)
6.19398293265181e+01	(-5.04531781267784e+01dB,1.79999634458872e+02°)
6.20826153796202e+01	(-5.04531781267792e+01dB,1.79999633616213e+02°)
6.22257305885689e+01	(-5.04531781267800e+01dB,1.79999632771611e+02°)
6.23691757121468e+01	(-5.04531781267808e+01dB,1.79999631925062e+02°)
6.25129515108857e+01	(-5.04531781267817e+01dB,1.79999631076562e+02°)
6.26570587470705e+01	(-5.04531781267825e+01dB,1.79999630226105e+02°)
6.28014981847434e+01	(-5.04531781267833e+01dB,1.79999629373688e+02°)
6.29462705897080e+01	(-5.04531781267842e+01dB,1.79999628519307e+02°)
6.30913767295332e+01	(-5.04531781267850e+01dB,1.79999627662955e+02°)
6.32368173735572e+01	(-5.04531781267859e+01dB,1.79999626804630e+02°)
6.33825932928919e+01	(-5.04531781267867e+01dB,1.79999625944325e+02°)
6.35287052604267e+01	(-5.04531781267876e+01dB,1.79999625082038e+02°)
