U,S1+,S2+,sqrtU,lambda
1500,4.1,7.0,38.72983346207417,0.3162936399402724
2000,3.2,6.3,44.721359549995796,0.2739183272437242
2500,2.9,5.2,50.0,0.245
3000,2.8,4.9,54.772255750516614,0.22365337764794282
3500,2.7,4.7,59.16079783099616,0.20706279240848657
3500,2.7,4.7,59.16079783099616,0.20706279240848657
3000,2.8,5.0,54.772255750516614,0.22365337764794282
2500,3.1,5.4,50.0,0.245
2000,3.5,6.1,44.721359549995796,0.2739183272437242
1500,3.8,7.0,38.72983346207417,0.3162936399402724
