0,0.0 
1,0.1
2,0.0
3,0.0
4,0.0
5,0.1
6,0.1
7,0.1
8,-0.2
9,-0.9
10,-1.4
11,-1.7
12,-1.9
13,-2.1
14,-2.2
15,-2.4
16,-2.5
16.5,-2.6
17,-2.7
17.5,-2.7
18,-2.3
18.5,-1.7
19,-1.0
19.5,-0.5
20,0.0
20.5,0.2
21,0.5
22,0.7
23,0.8
24,0.7
25,0.1
26,-1.0
27,-2.0
28,-2.6
29,-3.1
30,-3.5
31,-3.8
32,-4.0
33,-4.2
34,-4.3
34.5,-4.3
35,-3.8
35.5,-3.1
36,-2.4
36.5,-1.8
37,-1.1
38,-0.1
39,0.5
40,1.0
41,1.3
42,0.7
43,-0.1
44,-1.0
45,-2.0
46,-3.5
47,-3.7
48,-4.5
49,-5.1
50,-5.7
51,-6.3
52,-6.3
53,-5.5
53.5,-5.1
54,-4.6
54.5,-3.9
55,-3.4
55.5,-2.9
56,-2.4
57,-1.4
58,-0.5
59,-0.5
60,-0.5
61,-1.2
62,-2.1
63,-3.2
64,-4.5
65,-5.9
66,-7.4
67,-9.1
68,-10.8
69,-12.5
70,-13.6
71,-14.2
72,-14.5
73,-14.4
74,-14.3
74.5,-14.1
75,-14.0
75.5,-14.3
76,-14.5
77,-15.0
78,-16.4
79,-18.1
80,-20.8
