#f  Ur Dt division_r division_t df
#50,0,0.0.0,0.0,0,5.0
#75,0,0.0,0.0,0,5.0
115,0.1,2000.0,0.1,500,5.0
170,0.16,1600.0,0.2,500,5.0
250,0.24,800.0,0.2,100,5.0
400,0.34,500.0,0.2,100,5.0
600,0.50,450.0,0.5,100,5.0
850,0.60,180.0,0.5,100,5.0
1300,0.75,120.0,0.5,100,5.0
2000,0.80,40.0,0.5,50,5.0
3000,0.90,20.0,0.5,50,10.0
4500,0.90,8.0,0.5,50,10.0
6500,0.95,4.0,1,50,10.0
10000,1.00,2.0,1,50,10.0
15000,1.00,0.0,1,50,10.0
